,treat,age,ed,black,hisp,married,nodeg,re74,re75,re78,age2
0,1,37,11,1,0,1,1,0.0,0.0,9930.046,1369.0
1,1,22,9,0,1,0,1,0.0,0.0,3595.8940000000002,484.0
2,1,30,12,1,0,0,0,0.0,0.0,24909.45,900.0
3,1,27,11,1,0,0,1,0.0,0.0,7506.146,729.0
4,1,33,8,1,0,0,1,0.0,0.0,289.7899,1089.0
5,1,22,9,1,0,0,1,0.0,0.0,4056.494,484.0
6,1,23,12,1,0,0,0,0.0,0.0,0.0,529.0
7,1,32,11,1,0,0,1,0.0,0.0,8472.158000000001,1024.0
8,1,22,16,1,0,0,0,0.0,0.0,2164.022,484.0
9,1,33,12,0,0,1,0,0.0,0.0,12418.07,1089.0
10,1,19,9,1,0,0,1,0.0,0.0,8173.908,361.0
11,1,21,13,1,0,0,0,0.0,0.0,17094.64,441.0
12,1,18,8,1,0,0,1,0.0,0.0,0.0,324.0
13,1,27,10,1,0,1,1,0.0,0.0,18739.93,729.0
14,1,17,7,1,0,0,1,0.0,0.0,3023.8790000000004,289.0
15,1,19,10,1,0,0,1,0.0,0.0,3228.5029999999997,361.0
16,1,27,13,1,0,0,0,0.0,0.0,14581.86,729.0
17,1,23,10,1,0,0,1,0.0,0.0,7693.4,529.0
18,1,40,12,1,0,0,0,0.0,0.0,10804.32,1600.0
19,1,26,12,1,0,0,0,0.0,0.0,10747.35,676.0
20,1,23,11,1,0,0,1,0.0,0.0,0.0,529.0
21,1,41,14,0,0,0,0,0.0,0.0,5149.501,1681.0
22,1,38,9,0,0,0,1,0.0,0.0,6408.95,1444.0
23,1,24,11,1,0,0,1,0.0,0.0,1991.4,576.0
24,1,18,10,1,0,0,1,0.0,0.0,11163.17,324.0
25,1,29,11,1,0,1,1,0.0,0.0,9642.999,841.0
26,1,25,11,1,0,0,1,0.0,0.0,9897.049,625.0
27,1,27,10,0,1,0,1,0.0,0.0,11142.87,729.0
28,1,17,10,1,0,0,1,0.0,0.0,16218.04,289.0
29,1,24,11,1,0,0,1,0.0,0.0,995.7002,576.0
30,1,17,10,1,0,0,1,0.0,0.0,0.0,289.0
